,name,brand,tipe,year,distance,transmisi,price
0,JAZZ,Honda,RS 1.5,2017,"83,487",Automatic,Rp 210.000.000
1,HR-V,Honda,S 1.5,2021,"33,364",Automatic,Rp 241.000.000
2,BRIO,Honda,SATYA E,2018,"71,172",Automatic,Rp 136.000.000
3,CR-V,Honda,TURBO 1.5,2017,"64,558",Automatic,Rp 326.000.000
4,BRIO,Honda,SATYA E,2019,"34,815",Manual,Rp 137.000.000
5,MOBILIO,Honda,RS 1.5,2015,"73,033",Automatic,Rp 134.000.000
6,HR-V,Honda,E 1.5,2015,"122,090",Automatic,Rp 185.000.000
7,CR-V,Honda,TURBO 1.5,2017,"117,511",Automatic,Rp 309.000.000
8,CITY,Honda,RS HATCHBACK,2021,"25,160",Manual,Rp 226.000.000
9,BR-V,Honda,E PRESTIGE,2018,"85,650",Automatic,Rp 172.000.000
10,HR-V,Honda,SE 1.5,2019,"95,389",Automatic,Rp 246.000.000
11,HR-V,Honda,E 1.5,2018,"92,961",Automatic,Rp 213.000.000
12,HR-V,Honda,E PLUS,2018,"71,135",Automatic,Rp 241.000.000
13,CITY,Honda,RS HATCHBACK,2021,"46,694",Automatic,Rp 252.000.000
14,CITY,Honda,RS HATCHBACK,2021,"22,670",Automatic,Rp 253.000.000
15,HR-V,Honda,E PLUS,2018,"94,946",Automatic,Rp 242.000.000
16,BRIO,Honda,RS 1.2,2018,"83,538",Automatic,Rp 148.000.000
17,BRIO,Honda,SATYA E,2017,"24,658",Automatic,Rp 135.000.000
18,BRIO,Honda,RS 1.2,2020,"55,434",Automatic,Rp 177.000.000
19,BRIO,Honda,RS 1.2,2017,"61,782",Automatic,Rp 140.000.000
20,BRIO,Honda,SATYA E,2020,"43,337",Automatic,Rp 155.000.000
21,BRIO,Honda,RS 1.2,2020,"50,261",Automatic,Rp 182.000.000
22,CITY,Honda,RS HATCHBACK,2021,"30,492",Automatic,Rp 264.000.000
23,BRIO,Honda,RS 1.2,2018,"54,763",Automatic,Rp 148.000.000
24,BRIO,Honda,SATYA E,2019,"68,751",Automatic,Rp 155.000.000
25,BRIO,Honda,SATYA E,2019,"25,519",Automatic,Rp 155.000.000
26,BRIO,Honda,RS 1.2,2020,"39,132",Automatic,Rp 181.000.000
27,BRIO,Honda,RS 1.2,2016,"64,056",Automatic,Rp 139.000.000
28,BRIO,Honda,SATYA E,2019,"24,746",Automatic,Rp 155.000.000
29,BRIO,Honda,SATYA E,2019,"84,004",Automatic,Rp 155.000.000
30,BRIO,Honda,SATYA E,2019,"38,530",Automatic,Rp 162.000.000
31,JAZZ,Honda,RS 1.5,2014,"109,956",Automatic,Rp 171.000.000
32,BRIO,Honda,RS 1.2,2019,"65,278",Automatic,Rp          166.000.000        
33,BRIO,Honda,SATYA E,2019,"79,325",Automatic,Rp          154.000.000        
34,BRIO,Honda,RS 1.2,2018,"44,339",Automatic,Rp          151.000.000        
